Aviso,Nro.,Emisión,Inicio,Fin,Duración,Nivel
Aviso,Nro.,Emisión,Inicio,Fin,Duración,Nivel
INCREMENTO DE VIENTO EN LA SIERRA NORTE,133 (emitido),2026-04-06,2026-04-08,2026-04-09,37 Hrs.,AMARILLO
LLUVIA EN LA SELVA,128 (vigente),2026-04-04,2026-04-06,2026-04-07,47 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE Y CENTRO,125,2026-04-02,2026-04-04,2026-04-06,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,124,2026-04-02,2026-04-04,2026-04-05,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA,120,2026-03-30,2026-04-01,2026-04-03,61 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA NORTE Y CENTRO,119,2026-03-30,2026-04-01,2026-04-02,37 Hrs.,NARANJA
LLUVIA EN LA SELVA,114,2026-03-27,2026-03-29,2026-03-31,71 Hrs.,NARANJA
LLUVIA EN LA SELVA (EXTENSIÓN DEL AVISO 103),111,2026-03-25,2026-03-27,2026-03-28,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA NORTE,108,2026-03-24,2026-03-25,2026-03-25,23 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA NORTE (EXTENSIÓN DEL AVISO 098),104,2026-03-22,2026-03-24,2026-03-24,16 Hrs.,NARANJA
LLUVIA EN LA SELVA,103,2026-03-22,2026-03-24,2026-03-26,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA NORTE,098,2026-03-19,2026-03-21,2026-03-23,61 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA COSTA CENTRO Y SUR Y EN LA SIERRA,092,2026-03-16,2026-03-18,2026-03-20,61 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,086,2026-03-12,2026-03-14,2026-03-14,23 Hrs.,AMARILLO
LLUVIA EN LA SELVA,084,2026-03-11,2026-03-13,2026-03-14,47 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA Y SIERRA,083,2026-03-11,2026-03-12,2026-03-13,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,082,2026-03-08,2026-03-10,2026-03-12,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,081,2026-03-08,2026-03-10,2026-03-12,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE (EXTENSIÓN DEL AVISO 075),080,2026-03-06,2026-03-08,2026-03-09,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,077,2026-03-05,2026-03-07,2026-03-09,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,075,2026-03-03,2026-03-05,2026-03-07,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,057,2026-02-20,2026-02-23,2026-02-25,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (EXTENSIÓN DEL AVISO 046 ),051,2026-02-15,2026-02-17,2026-02-18,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,050,2026-02-14,2026-02-16,2026-02-18,71 Hrs.,NARANJA
LLUVIA EN LA SELVA (EXTENSIÓN DEL AVISO 044),047,2026-02-12,2026-02-14,2026-02-15,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,046,2026-02-12,2026-02-14,2026-02-16,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,044,2026-02-09,2026-02-11,2026-02-13,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,043,2026-02-09,2026-02-11,2026-02-13,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,040,2026-02-07,2026-02-09,2026-02-10,47 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE (EXTENSIÓN DEL AVISO 034),038,2026-02-05,2026-02-07,2026-02-08,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,035,2026-02-03,2026-02-05,2026-02-06,37 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,034,2026-02-03,2026-02-05,2026-02-06,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,033,2026-02-01,2026-02-03,2026-02-04,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA,032,2026-02-01,2026-02-03,2026-02-04,47 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE (EXTENSIÓN DEL AVISO 029),030,2026-01-31,2026-02-02,2026-02-02,23 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,029,2026-01-29,2026-01-30,2026-02-01,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (EXTENSION DEL AVISO 025 ),027,2026-01-27,2026-01-29,2026-01-29,23 Hrs.,NARANJA
LLUVIA EN LA SELVA,026,2026-01-25,2026-01-27,2026-01-29,71 Hrs.,NARANJA
LLUVIA EN LA SELVA - (EXTENSIÓN DEL AVISO N017),019,2026-01-20,2026-01-22,2026-01-23,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (EXTENSIÓN DEL AVISO N 016),018,2026-01-19,2026-01-21,2026-01-23,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,017,2026-01-18,2026-01-20,2026-01-21,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,016,2026-01-17,2026-01-19,2026-01-20,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,015,2026-01-16,2026-01-17,2026-01-18,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (EXTENSIÓN DEL AVISO 010),014,2026-01-16,2026-01-17,2026-01-18,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,012,2026-01-13,2026-01-15,2026-01-16,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,010,2026-01-12,2026-01-14,2026-01-16,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,009,2026-01-11,2026-01-13,2026-01-14,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (EXTENSIÓN DEL AVISO 005),008,2026-01-10,2026-01-11,2026-01-13,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,006,2026-01-06,2026-01-08,2026-01-09,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,005,2026-01-06,2026-01-08,2026-01-10,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,004,2026-01-05,2026-01-06,2026-01-06,23 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA (EXTENSIÓN DEL AVISO 001),003,2026-01-04,2026-01-06,2026-01-07,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,002,2026-01-01,2026-01-03,2026-01-05,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,001,2026-01-01,2026-01-03,2026-01-05,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,468,2025-12-29,2025-12-31,2026-01-01,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA NORTE,462,2025-12-24,2025-12-26,2025-12-28,61 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,461,2025-12-24,2025-12-26,2025-12-28,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA (EXTENSIÓN DEL AVISO 455),458,2025-12-21,2025-12-23,2025-12-24,47 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA Y COSTA SUR,457,2025-12-21,2025-12-23,2025-12-25,71 Hrs.,ROJO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA NORTE,456,2025-12-21,2025-12-23,2025-12-25,71 Hrs.,ROJO
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,455,2025-12-18,2025-12-20,2025-12-22,61 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,452,2025-12-17,2025-12-20,2025-12-22,61 Hrs.,ROJO
PRECIPITACIONES EN LA SIERRA,451,2025-12-17,2025-12-19,2025-12-19,23 Hrs.,AMARILLO
LLUVIA EN LA SELVA,450,2025-12-17,2025-12-19,2025-12-19,23 Hrs.,AMARILLO
LLUVIA EN LA SELVA - TRIGÉSIMO FRIAJE,447,2025-12-14,2025-12-16,2025-12-18,53 Hrs.,NARANJA
LLUVIA EN LA SELVA,444,2025-12-13,2025-12-14,2025-12-15,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 440),442,2025-12-11,2025-12-13,2025-12-14,47 Hrs.,ROJO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,440,2025-12-08,2025-12-10,2025-12-12,61 Hrs.,ROJO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA,436,2025-12-05,2025-12-07,2025-12-09,61 Hrs.,ROJO
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,434,2025-12-04,2025-12-06,2025-12-08,71 Hrs.,ROJO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA NORTE,433,2025-12-02,2025-12-04,2025-12-06,61 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,430,2025-12-01,2025-12-03,2025-12-05,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA NORTE,428,2025-11-29,2025-12-01,2025-12-03,59 Hrs.,NARANJA
